Teste;ETM;Bias MÃ¡ximo;Material;norm;Abbreviation;LI;LS;IR
Acido Folico;22,00%;11,00%;Soro;folato;AFOL;3,89;26,80;3,89 - 26,8
"Lipoproteina ""A""";30,00%;15,00%;Soro;"lipoproteina""a""";LIPOA;1,00;75,00;3,4 - 7
Acido urico (Urina);19,40%;5,60%;Urina;acidourico urinario;AURUIS;15,00;99,00;15 - 99
ACTH;35,00%;5,00%;Plasma;acth;ACT;5,00;46,00;5 - 46
AHIV;15,00%;7,50%;Sangue;ahiv;HIV2;0,00;0,99;0 - 0,99
Bilirrubina Direta;20,00%;10,00%;Soro;bilirrubinadireta;BILD;0,09;0,30;3,5 - 5,2
Albumina (Cappilarys);6,10%;2,20%;Soro;albumina;ALB;3,50;5,20;3,5 - 5,2
Fator Reumatoide;27,00%;13,50%;Soro;fatorreumatoide;FR;1,00;14,00;0 - 7,6
Aldosterona;30,00%;12,60%;Soro;aldosterona;ALDOSTER;2,52;39,20;2,52 - 39,2
Alfa - 1 - Antitripsina (BN);18,00%;9,00%;Soro;alfa1antitripsina;A1ANT;90,00;200,00;90 - 200
Alfa-1 (Cappilarys);20,00%;10,00%;Soro;alfa1;;;;
Alfa-1-Glicoproteina Acida;18,00%;9,00%;Soro;alfa1glicoproteinaacida;A1GLI;58,00;155,00;58 - 155
Alfa-2  (Cappilarys);20,00%;6,00%;Soro;alfa2;;;;
Alfafetoproteina;20,00%;10,00%;Sangue;alfafetoproteina;AFETO;0,00;5,80;0 - 5,8
AMH Plus;11,40%;3,50%;Sangue;amhplus;AMH;0,01;2,71;0,01 - 2,71
Ferro;30,00%;15,00%;Soro;ferro;FE;33,00;193,00;28 - 100
Amilase (Urina);19,40%;5,60%;Urina;amilase urinaria;AMIUR;0,00;650,00;0 - 650
Amonia;20,00%;10,00%;Soro;amonia;AMONIA;19,00;54,00;19 - 54
Androstenediona;30,00%;15,00%;Plasma;androstenediona;AND;0,19;1,07;0,19 - 1,07
Fosforo (Soro);20,00%;10,00%;Soro;fosforo;FOS;2,50;4,50;20 - 200
Anti-GAD;30,00%;15,00%;Soro;antigad65;GAD;17,00;0,00;17 - 0
Anti-HAV IgM;24,00%;12,00%;Sangue;antihavigm;HAVM-EQ;0,00;0,99;0 - 0,99
Anti-HAV II;12,00%;7,50%;Sangue;antihavii;HAVT-EQ;1,01;60,00;1,01 - 60
Anti-HBc IgM;18,10%;9,10%;Sangue;antihbcigm;HBCM;0,89;0,00;0,89 - 0
Anti-HBc II;18,00%;9,00%;Sangue;antihbcii;HBCG;1,01;60,00;1,01 - 60
Anti-HBE;12,00%;6,00%;Sangue;antihbe;HBE;1,01;60,00;1,01 - 60
Anti-HBs II;15,30%;7,70%;Sangue;antihbsii;HBS;10,00;0,00;10 - 0
Anti-HCV II;24,00%;12,00%;Sangue;antihcvii;HCV;0,90;0,00;0,9 - 0
Anti-ILHOTA (ICA);13,50%;6,80%;Soro;antiilhotaica;ILHOTA;3,00;28,00;3 - 28
Anti-Insulina (IAA);14,20%;7,10%;Soro;antiinsulinaiaa;INSBASAL;2,60;24,90;2,6 - 24,9
Anti-Tireoglobulina;30,00%;15,00%;Plasma;atg;ANTITG;115,00;0,00;115 - 0
Anti-TPO;22,00%;11,00%;Soro;atpo;ANTITPO;115,00;0,00;115 - 0
Apolipoproteina A;30,00%;15,00%;Soro;apolipoproteinaa;APOA;46,00;304,00;46 - 304
Apolipoproteina B;15,50%;8,00%;Soro;apolipoproteinab;APOB;46,00;174,00;46 - 174
Asca IgA;30,00%;15,00%;Sangue;ascaiga;;;;
Asca IgG;30,00%;15,00%;Sangue;ascaigg;;;;
Avidez Citomegalovirus;19,50%;9,80%;Sangue;avidezcitomegalovirus;CMVAVI;;;
Avidez Toxoplasmose;22,50%;11,30%;Sangue;avideztoxoplasmose;TOXOA L;;;
B2 Glico IgG;30,00%;15,00%;Sangue;b2glicoigg;;;;
B2 Glico IgM;30,00%;15,00%;Sangue;b2glicoigm;;;;
Beta - 2 - Microglobulina;22,00%;11,00%;Soro;beta2microglobulina;TIREO;3,50;77,00;3,5 - 77
Beta CrossLaps (CTX);22,80%;7,00%;Soro;betacrosslapsctx;CTX;0,12;0,78;0,12 - 0,78
Beta-1;15,00%;3,00%;Soro;beta1;;;;
Beta-2;12,00%;6,00%;Soro;beta2;;;;
Beta-HCG;20,00%;10,00%;Soro;hcg+beta;BHCG;0,00;5,00;0 - 5
Glicose (Soro);13,00%;6,50%;Soro;glicose;GLI;70,00;99,00;0,09 - 0,3
Homocisteina;24,00%;12,00%;Plasma;homocisteina;HCY;3,00;15,00;0,3 - 1,2
Borrelia IgG;24,00%;12,00%;Soro;borreliaigg;LYMEIGG;0,00;10,00;0 - 10
Borrelia IgM;30,00%;15,00%;Soro;borreliaigm;LYMEIGM;0,00;0,90;0 - 0,9
C1 inibidor;15,50%;7,50%;Soro;c1inibisor;C1ESTERA;21,00;39,00;21 - 39
CA 125;17,00%;8,50%;Sangue;ca125;CA125;0,00;35,00;0 - 35
CA 15-3;17,00%;8,50%;Sangue;ca153;CA15-3;0,00;28,50;0 - 28,5
CA 19-9;20,00%;10,00%;Soro;ca199;CA19;0,00;34,00;0 - 34
CA 50;18,00%;9,00%;Soro;ca50;CA50;0,00;25,00;0 - 25
CA 72-4;24,00%;12,00%;Sangue;ca724;CA72/4;0,00;6,90;0 - 6,9
LDH;30,00%;15,00%;Soro;ldh;LDH;135,00;225,00;8,2 - 9,6
Calcio (Urina);25,00%;12,50%;Urina;calcio urinario;CAUIS;100,00;300,00;100 - 300
Calcio ionico;12,00%;6,00%;Soro;calcioionico;CAI;1,00;1,40;1 - 1,4
Calcitonina;30,00%;15,00%;Sangue;calcitonina;CALCITON;0,00;14,30;0 - 14,3
Calprotectina;27,00%;13,50%;Fezes;calprotectina;CALPRO;0,00;50,00;0 - 50
LDL Colesterol;30,00%;15,00%;Soro;ldlcolesterol;LDLDOSAD;30,00;130,00;125 - 345
Cardiolipina IgA;35,00%;17,50%;Sangue;cardiolipinaiga;CARDIOLIPINAG;;;
